"relative_path","bytes","sha256"
"reproduction/depth_evaluation_report/source_notes.md","2743","018cae3c50b7a3689b39bf124d9d601eef627201a3ef01f67b775dc5289e141c"
"reproduction/sample_input/depth_mm/00000048.png","599409","38141d6930666c9b5c1ab66ba8ae757bd7b2f645d13f02c44a5bd14ce1109008"
"reproduction/sample_input/K.txt","84","2d02aaec90012d7a633eb2302418afa0e45649aab45b33c03ede4d30e4091329"
"reproduction/sample_input/left/00000048.png","567899","ab62cc915ca86c088cdf6975bea298016bb529492258290c79934846babb8fd1"
"reproduction/sample_input/metadata.csv","457","1abb08127d1b5f80ccea03fded67b68851c8fb45745db2da3ff364df5dbafae0"
"reproduction/sample_input/right/00000048.png","585067","325aa6d4b0253b6bbb01f3eb53fead6a36a2e073a55986c7120ab36146696c49"
"reproduction/sample_input/session.json","2388","4f037296886297c0803e2aaac9e877a04bfc83557c42ca5b593377e7f8d3c924"
"reproduction/sample_input/valid_mask/00000048.png","74429","5b28b9498ec2bf50df373d669d8158740f24fb5e0c7a200900b62a6cba64a183"
"reproduction/sample_output/disp_vis.png","557212","a89f42b6a19d68934b835d319fe7bfe1002d2b4d68ad73bcbc41ee573760019f"
"reproduction/sample_output/left.png","231109","8a993719d0a845518192c3eec0a630c5e24a2a4415d1e7347d3a4bd7e5c9d282"
"reproduction/sample_output/right.png","241634","c2c977bb3ce79042d2d86684261122b37f29423a377be1f834f3a665de5f4eea"
